file,instrument,bpm,noise_level,tone_freq,body,decay,brightness,style,rms,max,min,mean
hat\hat_loop_00386.wav,hat,174,0.5813234164454657,9209.434901967665,0.1453775930985767,0.08110955043297555,0.4525413775368302,jungle,0.1712951362133026,0.9607805013656616,-1.0,2.2980584617471322e-06
hat\hat_loop_00387.wav,hat,174,0.6159968300962304,9919.348815689998,0.14681706491397112,0.10132111334600638,0.4966040670925153,default,0.18023298680782318,1.0,-0.9445635080337524,2.636290219015791e-06
hat\hat_loop_00388.wav,hat,174,0.716410869364628,6811.107691750297,0.19622560958508856,0.019384380362729745,0.2031248028035656,default,0.12414445728063583,1.0,-0.9435358047485352,-5.850490083503246e-07
hat\hat_loop_00389.wav,hat,174,0.7115762226300887,7012.921416298866,0.20593513104090236,0.01911687553025078,0.19365501149189018,default,0.12635360658168793,1.0,-0.9657958149909973,3.321160647828947e-06
hat\hat_loop_00390.wav,hat,174,0.48911782584291785,8337.399338436779,0.09745983135254137,0.01960113896300289,0.8275163949859853,default,0.12482239305973053,1.0,-0.9713778495788574,-6.737203079865139e-07
hat\hat_loop_00391.wav,hat,174,0.6753186676331415,7180.211855003337,0.20448329629252449,0.020045771571914273,0.20726384099269643,default,0.13394100964069366,0.9241142272949219,-1.0,2.0853651676588925e-06
hat\hat_loop_00392.wav,hat,174,0.5743121203482757,8399.212871284131,0.11950069185774563,0.01944520989559546,0.6141436648612858,jumpup,0.12877637147903442,1.0,-0.9076896905899048,5.090473678137641e-07
hat\hat_loop_00393.wav,hat,174,0.602955367504123,9912.485910026839,0.14822159513347166,0.10289405067756015,0.5207669484779842,default,0.18420827388763428,1.0,-0.9925459027290344,-9.255459190171678e-07
hat\hat_loop_00394.wav,hat,174,0.684512390000754,7233.766818351287,0.20398627033365146,0.020740131505552102,0.2031720146312556,default,0.1276429146528244,0.916812539100647,-1.0,7.885008699304308e-07
hat\hat_loop_00395.wav,hat,174,0.48855131359839227,8297.509715767332,0.09592393914082824,0.02040265837251873,0.7728214167269251,default,0.13008467853069305,1.0,-0.9572946429252625,1.3660837794304825e-06
hat\hat_loop_00396.wav,hat,174,0.5619538523256848,8685.395830260577,0.11571962873956433,0.019145929327797837,0.6262732302543603,jumpup,0.1264173984527588,1.0,-0.9724279642105103,-5.140823589044885e-08
hat\hat_loop_00397.wav,hat,174,0.6620832442265503,7129.955395950633,0.17805619472101922,0.028636154796205508,0.23859954177000572,neuro,0.13349033892154694,0.9032965302467346,-1.0,3.3201076803379692e-06
hat\hat_loop_00398.wav,hat,174,0.5243576275357653,8471.033781392482,0.12321592990943601,0.01998787740953697,0.6289078379333791,jumpup,0.13365893065929413,0.9871558547019958,-1.0,1.4420272975712578e-07
hat\hat_loop_00399.wav,hat,174,0.5842804986666285,10215.523973923759,0.14836072428261285,0.10315011695126002,0.5110937560435878,default,0.1891729086637497,1.0,-0.9669013023376465,4.644659838959342e-06
hat\hat_loop_00400.wav,hat,174,0.7108313006041344,7046.64007174547,0.20515250057469211,0.020617757572282198,0.19421117331488716,default,0.13108085095882416,1.0,-0.93027263879776,8.56545682381693e-07
hat\hat_loop_00401.wav,hat,174,0.6185555088345933,8698.616764146202,0.1529206845895835,0.0802785496127776,0.43324617715987046,jungle,0.1791658252477646,0.9843048453330994,-1.0,3.334173754865333e-07
hat\hat_loop_00402.wav,hat,174,0.5380710571308719,8751.787476648844,0.12595726761286882,0.019163985980993614,0.5760593405141968,jumpup,0.13022983074188232,0.9281283617019653,-1.0,1.6326797549481853e-06
hat\hat_loop_00403.wav,hat,174,0.5880473654159536,9067.743936438588,0.14797765299458113,0.08231555050155075,0.4368301607453604,jungle,0.18145842850208282,1.0,-0.9864484071731567,2.5934247105396935e-07
hat\hat_loop_00404.wav,hat,174,0.5440980796240672,8168.0809937133145,0.11852656021647479,0.020336602033896957,0.6176523061502402,jumpup,0.13290798664093018,1.0,-0.9445814490318298,1.4520904869641527e-06
hat\hat_loop_00405.wav,hat,174,0.6526784855281638,7675.8430287779765,0.1790956619784975,0.02996241478586513,0.25524668508402854,neuro,0.1486184448003769,1.0,-0.9581306576728821,2.7870178200828377e-06
hat\hat_loop_00406.wav,hat,174,0.5597641756464004,8223.585634099267,0.11587080470853629,0.019411213304711673,0.5810169612422967,jumpup,0.11807039380073547,1.0,-0.8230016231536865,1.6201040864416427e-07
hat\hat_loop_00407.wav,hat,174,0.6685553135170454,7120.490134071819,0.20187216059733556,0.020824176959464043,0.19401664620927672,default,0.11980583518743515,0.8578351736068726,-1.0,2.3254435745911906e-06
hat\hat_loop_00408.wav,hat,174,0.7092052129713025,7092.466931112496,0.1969914082093004,0.020130804941282086,0.20456880061116917,default,0.1248432919383049,1.0,-0.9475563168525696,-7.722171062596317e-07
hat\hat_loop_00409.wav,hat,174,0.4775527726413708,7714.628946137833,0.10052681553064534,0.020010939877338433,0.7835031854133122,default,0.1392894983291626,0.9750626683235168,-1.0,1.0948822364298394e-06
hat\hat_loop_00410.wav,hat,174,0.5667994657172105,8920.786730305144,0.12090319217756913,0.01942706016338086,0.6264154907709032,jumpup,0.1291857212781906,1.0,-0.927270770072937,-2.631875986480736e-06
hat\hat_loop_00411.wav,hat,174,0.5862100204264296,9272.071934869957,0.14816196903594145,0.08188100115399383,0.43972441832350134,jungle,0.16232748329639435,0.9342822432518005,-1.0,2.2923638098859556e-08
hat\hat_loop_00412.wav,hat,174,0.494671935828868,7863.847543822221,0.10397112602621789,0.020134911906063587,0.8301565679194609,default,0.1301092952489853,1.0,-0.9313406944274902,-1.7750058987076045e-06
